detector,role,delta_ms,model,model_label,metric,reported_value,independently_recalculated_value,absolute_difference,status
yolo11n,development,100,B4,B4,median_normalized_center_error,,,,not_available_in_frozen_parquet
yolo11n,development,100,B4,B4,median_center_error_px,72372.4264619,72372.4264619,0,agreement_within_1e-12
yolo11n,development,100,B4,B4,median_iou,0,0,0,agreement_within_1e-12
yolo11n,development,100,B4,B4,recall_iou_0_3,0,0,0,agreement_within_1e-12
yolo11n,development,100,B4,B4,recall_iou_0_5,0,0,0,agreement_within_1e-12
yolo11n,development,100,B4,B4,recall_iou_0_7,0,0,0,agreement_within_1e-12
yolo11n,development,100,B4,B4,median_scale_error,,,,not_available_in_frozen_parquet
yolo11n,development,100,B5,B5,median_normalized_center_error,,,,not_available_in_frozen_parquet
yolo11n,development,100,B5,B5,median_center_error_px,72304.7918397,72304.7918397,0,agreement_within_1e-12
yolo11n,development,100,B5,B5,median_iou,0,0,0,agreement_within_1e-12
yolo11n,development,100,B5,B5,recall_iou_0_3,0,0,0,agreement_within_1e-12
yolo11n,development,100,B5,B5,recall_iou_0_5,0,0,0,agreement_within_1e-12
yolo11n,development,100,B5,B5,recall_iou_0_7,0,0,0,agreement_within_1e-12
yolo11n,development,100,B5,B5,median_scale_error,,,,not_available_in_frozen_parquet
yolo11n,development,100,constant_velocity,B1,median_normalized_center_error,,,,not_available_in_frozen_parquet
yolo11n,development,100,constant_velocity,B1,median_center_error_px,72372.4264619,72372.4264619,0,agreement_within_1e-12
yolo11n,development,100,constant_velocity,B1,median_iou,0,0,0,agreement_within_1e-12
yolo11n,development,100,constant_velocity,B1,recall_iou_0_3,0,0,0,agreement_within_1e-12
yolo11n,development,100,constant_velocity,B1,recall_iou_0_5,0,0,0,agreement_within_1e-12
yolo11n,development,100,constant_velocity,B1,recall_iou_0_7,0,0,0,agreement_within_1e-12
yolo11n,development,100,constant_velocity,B1,median_scale_error,,,,not_available_in_frozen_parquet
yolo11n,development,100,ego_motion_only,B3,median_normalized_center_error,,,,not_available_in_frozen_parquet
yolo11n,development,100,ego_motion_only,B3,median_center_error_px,72179.2187306,72179.2187306,0,agreement_within_1e-12
yolo11n,development,100,ego_motion_only,B3,median_iou,0,0,0,agreement_within_1e-12
yolo11n,development,100,ego_motion_only,B3,recall_iou_0_3,0,0,0,agreement_within_1e-12
yolo11n,development,100,ego_motion_only,B3,recall_iou_0_5,0,0,0,agreement_within_1e-12
yolo11n,development,100,ego_motion_only,B3,recall_iou_0_7,0,0,0,agreement_within_1e-12
yolo11n,development,100,ego_motion_only,B3,median_scale_error,,,,not_available_in_frozen_parquet
yolo11n,development,100,kalman,B2,median_normalized_center_error,,,,not_available_in_frozen_parquet
yolo11n,development,100,kalman,B2,median_center_error_px,72372.4264619,72372.4264619,0,agreement_within_1e-12
yolo11n,development,100,kalman,B2,median_iou,0,0,0,agreement_within_1e-12
yolo11n,development,100,kalman,B2,recall_iou_0_3,0,0,0,agreement_within_1e-12
yolo11n,development,100,kalman,B2,recall_iou_0_5,0,0,0,agreement_within_1e-12
yolo11n,development,100,kalman,B2,recall_iou_0_7,0,0,0,agreement_within_1e-12
yolo11n,development,100,kalman,B2,median_scale_error,,,,not_available_in_frozen_parquet
yolo11n,development,100,stale,B0,median_normalized_center_error,,,,not_available_in_frozen_parquet
yolo11n,development,100,stale,B0,median_center_error_px,72179.2187306,72179.2187306,0,agreement_within_1e-12
yolo11n,development,100,stale,B0,median_iou,0,0,0,agreement_within_1e-12
yolo11n,development,100,stale,B0,recall_iou_0_3,0,0,0,agreement_within_1e-12
yolo11n,development,100,stale,B0,recall_iou_0_5,0,0,0,agreement_within_1e-12
yolo11n,development,100,stale,B0,recall_iou_0_7,0,0,0,agreement_within_1e-12
yolo11n,development,100,stale,B0,median_scale_error,,,,not_available_in_frozen_parquet
yolo11n,development,200,B4,B4,median_normalized_center_error,,,,not_available_in_frozen_parquet
yolo11n,development,200,B4,B4,median_center_error_px,71946.0693534,71946.0693534,0,agreement_within_1e-12
yolo11n,development,200,B4,B4,median_iou,0,0,0,agreement_within_1e-12
yolo11n,development,200,B4,B4,recall_iou_0_3,0,0,0,agreement_within_1e-12
yolo11n,development,200,B4,B4,recall_iou_0_5,0,0,0,agreement_within_1e-12
yolo11n,development,200,B4,B4,recall_iou_0_7,0,0,0,agreement_within_1e-12
yolo11n,development,200,B4,B4,median_scale_error,,,,not_available_in_frozen_parquet
yolo11n,development,200,B5,B5,median_normalized_center_error,,,,not_available_in_frozen_parquet
yolo11n,development,200,B5,B5,median_center_error_px,72032.4361037,72032.4361037,0,agreement_within_1e-12
yolo11n,development,200,B5,B5,median_iou,0,0,0,agreement_within_1e-12
yolo11n,development,200,B5,B5,recall_iou_0_3,0,0,0,agreement_within_1e-12
yolo11n,development,200,B5,B5,recall_iou_0_5,0,0,0,agreement_within_1e-12
yolo11n,development,200,B5,B5,recall_iou_0_7,0,0,0,agreement_within_1e-12
yolo11n,development,200,B5,B5,median_scale_error,,,,not_available_in_frozen_parquet
yolo11n,development,200,constant_velocity,B1,median_normalized_center_error,,,,not_available_in_frozen_parquet
yolo11n,development,200,constant_velocity,B1,median_center_error_px,71946.0693534,71946.0693534,0,agreement_within_1e-12
yolo11n,development,200,constant_velocity,B1,median_iou,0,0,0,agreement_within_1e-12
yolo11n,development,200,constant_velocity,B1,recall_iou_0_3,0,0,0,agreement_within_1e-12
yolo11n,development,200,constant_velocity,B1,recall_iou_0_5,0,0,0,agreement_within_1e-12
yolo11n,development,200,constant_velocity,B1,recall_iou_0_7,0,0,0,agreement_within_1e-12
yolo11n,development,200,constant_velocity,B1,median_scale_error,,,,not_available_in_frozen_parquet
yolo11n,development,200,ego_motion_only,B3,median_normalized_center_error,,,,not_available_in_frozen_parquet
yolo11n,development,200,ego_motion_only,B3,median_center_error_px,72159.918225,72159.918225,0,agreement_within_1e-12
yolo11n,development,200,ego_motion_only,B3,median_iou,0,0,0,agreement_within_1e-12
yolo11n,development,200,ego_motion_only,B3,recall_iou_0_3,0,0,0,agreement_within_1e-12
yolo11n,development,200,ego_motion_only,B3,recall_iou_0_5,0,0,0,agreement_within_1e-12
yolo11n,development,200,ego_motion_only,B3,recall_iou_0_7,0,0,0,agreement_within_1e-12
yolo11n,development,200,ego_motion_only,B3,median_scale_error,,,,not_available_in_frozen_parquet
yolo11n,development,200,kalman,B2,median_normalized_center_error,,,,not_available_in_frozen_parquet
yolo11n,development,200,kalman,B2,median_center_error_px,71946.0693534,71946.0693534,0,agreement_within_1e-12
yolo11n,development,200,kalman,B2,median_iou,0,0,0,agreement_within_1e-12
yolo11n,development,200,kalman,B2,recall_iou_0_3,0,0,0,agreement_within_1e-12
yolo11n,development,200,kalman,B2,recall_iou_0_5,0,0,0,agreement_within_1e-12
yolo11n,development,200,kalman,B2,recall_iou_0_7,0,0,0,agreement_within_1e-12
yolo11n,development,200,kalman,B2,median_scale_error,,,,not_available_in_frozen_parquet
yolo11n,development,200,stale,B0,median_normalized_center_error,,,,not_available_in_frozen_parquet
yolo11n,development,200,stale,B0,median_center_error_px,72159.918225,72159.918225,0,agreement_within_1e-12
yolo11n,development,200,stale,B0,median_iou,0,0,0,agreement_within_1e-12
yolo11n,development,200,stale,B0,recall_iou_0_3,0,0,0,agreement_within_1e-12
yolo11n,development,200,stale,B0,recall_iou_0_5,0,0,0,agreement_within_1e-12
yolo11n,development,200,stale,B0,recall_iou_0_7,0,0,0,agreement_within_1e-12
yolo11n,development,200,stale,B0,median_scale_error,,,,not_available_in_frozen_parquet
yolo11n,development,300,B4,B4,median_normalized_center_error,,,,not_available_in_frozen_parquet
yolo11n,development,300,B4,B4,median_center_error_px,70727.0177458,70727.0177458,0,agreement_within_1e-12
yolo11n,development,300,B4,B4,median_iou,0,0,0,agreement_within_1e-12
yolo11n,development,300,B4,B4,recall_iou_0_3,0,0,0,agreement_within_1e-12
yolo11n,development,300,B4,B4,recall_iou_0_5,0,0,0,agreement_within_1e-12
yolo11n,development,300,B4,B4,recall_iou_0_7,0,0,0,agreement_within_1e-12
yolo11n,development,300,B4,B4,median_scale_error,,,,not_available_in_frozen_parquet
yolo11n,development,300,B5,B5,median_normalized_center_error,,,,not_available_in_frozen_parquet
yolo11n,development,300,B5,B5,median_center_error_px,70887.414126,70887.414126,0,agreement_within_1e-12
yolo11n,development,300,B5,B5,median_iou,0,0,0,agreement_within_1e-12
yolo11n,development,300,B5,B5,recall_iou_0_3,0,0,0,agreement_within_1e-12
yolo11n,development,300,B5,B5,recall_iou_0_5,0,0,0,agreement_within_1e-12
yolo11n,development,300,B5,B5,recall_iou_0_7,0,0,0,agreement_within_1e-12
yolo11n,development,300,B5,B5,median_scale_error,,,,not_available_in_frozen_parquet
yolo11n,development,300,constant_velocity,B1,median_normalized_center_error,,,,not_available_in_frozen_parquet
yolo11n,development,300,constant_velocity,B1,median_center_error_px,70727.0177458,70727.0177458,0,agreement_within_1e-12
yolo11n,development,300,constant_velocity,B1,median_iou,0,0,0,agreement_within_1e-12
yolo11n,development,300,constant_velocity,B1,recall_iou_0_3,0,0,0,agreement_within_1e-12
yolo11n,development,300,constant_velocity,B1,recall_iou_0_5,0,0,0,agreement_within_1e-12
yolo11n,development,300,constant_velocity,B1,recall_iou_0_7,0,0,0,agreement_within_1e-12
yolo11n,development,300,constant_velocity,B1,median_scale_error,,,,not_available_in_frozen_parquet
yolo11n,development,300,ego_motion_only,B3,median_normalized_center_error,,,,not_available_in_frozen_parquet
yolo11n,development,300,ego_motion_only,B3,median_center_error_px,70845.9323132,70845.9323132,0,agreement_within_1e-12
yolo11n,development,300,ego_motion_only,B3,median_iou,0,0,0,agreement_within_1e-12
yolo11n,development,300,ego_motion_only,B3,recall_iou_0_3,0,0,0,agreement_within_1e-12
yolo11n,development,300,ego_motion_only,B3,recall_iou_0_5,0,0,0,agreement_within_1e-12
yolo11n,development,300,ego_motion_only,B3,recall_iou_0_7,0,0,0,agreement_within_1e-12
yolo11n,development,300,ego_motion_only,B3,median_scale_error,,,,not_available_in_frozen_parquet
yolo11n,development,300,kalman,B2,median_normalized_center_error,,,,not_available_in_frozen_parquet
yolo11n,development,300,kalman,B2,median_center_error_px,70727.0177458,70727.0177458,0,agreement_within_1e-12
yolo11n,development,300,kalman,B2,median_iou,0,0,0,agreement_within_1e-12
yolo11n,development,300,kalman,B2,recall_iou_0_3,0,0,0,agreement_within_1e-12
yolo11n,development,300,kalman,B2,recall_iou_0_5,0,0,0,agreement_within_1e-12
yolo11n,development,300,kalman,B2,recall_iou_0_7,0,0,0,agreement_within_1e-12
yolo11n,development,300,kalman,B2,median_scale_error,,,,not_available_in_frozen_parquet
yolo11n,development,300,stale,B0,median_normalized_center_error,,,,not_available_in_frozen_parquet
yolo11n,development,300,stale,B0,median_center_error_px,70845.9323132,70845.9323132,0,agreement_within_1e-12
yolo11n,development,300,stale,B0,median_iou,0,0,0,agreement_within_1e-12
yolo11n,development,300,stale,B0,recall_iou_0_3,0,0,0,agreement_within_1e-12
yolo11n,development,300,stale,B0,recall_iou_0_5,0,0,0,agreement_within_1e-12
yolo11n,development,300,stale,B0,recall_iou_0_7,0,0,0,agreement_within_1e-12
yolo11n,development,300,stale,B0,median_scale_error,,,,not_available_in_frozen_parquet
yolo11n,development,400,B4,B4,median_normalized_center_error,,,,not_available_in_frozen_parquet
