control,detector,status,correctly_timed_B4_B5_outperforms
time_shifted_ego_pose,yolo11n,not_evaluable_control_identity_and_predictions_not_stored_in_frozen_parquet,
ego_motion_from_another_log,yolo11n,not_evaluable_control_identity_and_predictions_not_stored_in_frozen_parquet,
shuffled_object_velocity,yolo11n,not_evaluable_control_identity_and_predictions_not_stored_in_frozen_parquet,
reversed_object_velocity,yolo11n,not_evaluable_control_identity_and_predictions_not_stored_in_frozen_parquet,
incorrect_depth,yolo11n,not_evaluable_control_identity_and_predictions_not_stored_in_frozen_parquet,
mismatched_track_history,yolo11n,not_evaluable_control_identity_and_predictions_not_stored_in_frozen_parquet,
no_ego_motion_correction,yolo11n,not_evaluable_control_identity_and_predictions_not_stored_in_frozen_parquet,
no_object_motion_correction,yolo11n,not_evaluable_control_identity_and_predictions_not_stored_in_frozen_parquet,
time_shifted_ego_pose,yolo11s,not_evaluable_control_identity_and_predictions_not_stored_in_frozen_parquet,
ego_motion_from_another_log,yolo11s,not_evaluable_control_identity_and_predictions_not_stored_in_frozen_parquet,
shuffled_object_velocity,yolo11s,not_evaluable_control_identity_and_predictions_not_stored_in_frozen_parquet,
reversed_object_velocity,yolo11s,not_evaluable_control_identity_and_predictions_not_stored_in_frozen_parquet,
incorrect_depth,yolo11s,not_evaluable_control_identity_and_predictions_not_stored_in_frozen_parquet,
mismatched_track_history,yolo11s,not_evaluable_control_identity_and_predictions_not_stored_in_frozen_parquet,
no_ego_motion_correction,yolo11s,not_evaluable_control_identity_and_predictions_not_stored_in_frozen_parquet,
no_object_motion_correction,yolo11s,not_evaluable_control_identity_and_predictions_not_stored_in_frozen_parquet,
