detector,delta_ms,yaw_stratum,control,logs,comparisons,median_normalized_center_error,median_center_error_px,median_iou,recall_iou_0_3,recall_iou_0_5,recall_iou_0_7,same_eligible_comparisons,scope,valid_B4_outperforms_control
yolo11n,300,high_yaw,ego_motion_from_another_log,40,11425,0.0230348480438,59.1632662212,0.221404200239,0.394594822498,0.168442495795,0.0239529546758,True,corrected_300ms_high_yaw_heldout_full_eligible_set,True
yolo11n,300,high_yaw,incorrect_depth,40,11425,0.0117592169795,30.2026600474,0.443616823187,0.670413898825,0.428121212121,0.115663322185,True,corrected_300ms_high_yaw_heldout_full_eligible_set,True
yolo11n,300,high_yaw,mismatched_track_history,40,11425,0.0130637910553,33.5533599609,0.362114480329,0.569413345275,0.350373134328,0.118912018853,True,corrected_300ms_high_yaw_heldout_full_eligible_set,True
yolo11n,300,high_yaw,no_ego_motion_correction,40,11425,0.0193887138769,49.798446189,0.29318409348,0.48907394283,0.197064187423,0.0341381299368,True,corrected_300ms_high_yaw_heldout_full_eligible_set,True
yolo11n,300,high_yaw,no_object_motion_correction,40,11425,0.00700286113106,17.9863195372,0.554992429553,0.775908119658,0.584983031674,0.241885891886,True,corrected_300ms_high_yaw_heldout_full_eligible_set,False
yolo11n,300,high_yaw,reversed_object_velocity,40,11425,0.0123280029821,31.6635439059,0.375034192031,0.598192771084,0.358843039703,0.114949953262,True,corrected_300ms_high_yaw_heldout_full_eligible_set,True
yolo11n,300,high_yaw,shuffled_object_velocity,40,11425,0.0134073062796,34.4356528516,0.369217896236,0.581072935503,0.334770114943,0.110895361381,True,corrected_300ms_high_yaw_heldout_full_eligible_set,True
yolo11n,300,high_yaw,time_shifted_ego_pose,40,11425,0.0135668063236,34.8453166597,0.423110901399,0.608575634891,0.41074270557,0.136326109391,True,corrected_300ms_high_yaw_heldout_full_eligible_set,True
yolo11n,300,high_yaw,valid_B4,40,11425,0.0101133803503,25.9754530579,0.468807880563,0.679179740854,0.465515734266,0.163284167289,True,corrected_300ms_high_yaw_heldout_full_eligible_set,
yolo11n,300,high_yaw,valid_B5,40,11425,0.00914622987063,23.4914001484,0.52701827916,0.740100250627,0.530445410103,0.205848275862,True,corrected_300ms_high_yaw_heldout_full_eligible_set,
yolo11s,300,high_yaw,ego_motion_from_another_log,40,14089,0.0218967065458,56.2400358044,0.187910046481,0.36841499885,0.150681674065,0.0186602870813,True,corrected_300ms_high_yaw_heldout_full_eligible_set,True
yolo11s,300,high_yaw,incorrect_depth,40,14089,0.0103561827987,26.5990727955,0.4354705178,0.674313374724,0.413689464741,0.106454960565,True,corrected_300ms_high_yaw_heldout_full_eligible_set,True
yolo11s,300,high_yaw,mismatched_track_history,40,14089,0.0114205450062,29.3328066809,0.393991678246,0.590630630631,0.353493647913,0.12049941928,True,corrected_300ms_high_yaw_heldout_full_eligible_set,True
yolo11s,300,high_yaw,no_ego_motion_correction,40,14089,0.0186237095412,47.8335903721,0.231008853008,0.433518318894,0.197687400319,0.0308179327757,True,corrected_300ms_high_yaw_heldout_full_eligible_set,True
yolo11s,300,high_yaw,no_object_motion_correction,40,14089,0.00584271907771,15.006582357,0.548007625066,0.772488152689,0.567107117689,0.223118130233,True,corrected_300ms_high_yaw_heldout_full_eligible_set,False
yolo11s,300,high_yaw,reversed_object_velocity,40,14089,0.0100200516601,25.735745371,0.384848704884,0.606402603325,0.359597477245,0.124789760406,True,corrected_300ms_high_yaw_heldout_full_eligible_set,True
yolo11s,300,high_yaw,shuffled_object_velocity,40,14089,0.0113867157997,29.2459189207,0.373441531585,0.57862512594,0.337953667954,0.126538390035,True,corrected_300ms_high_yaw_heldout_full_eligible_set,True
yolo11s,300,high_yaw,time_shifted_ego_pose,40,14089,0.0114517240359,29.4128876621,0.39908086258,0.582899979739,0.390151515152,0.140745631857,True,corrected_300ms_high_yaw_heldout_full_eligible_set,True
yolo11s,300,high_yaw,valid_B4,40,14089,0.00902138523403,23.1707461351,0.468733943552,0.691189129365,0.45393707447,0.173748974569,True,corrected_300ms_high_yaw_heldout_full_eligible_set,
yolo11s,300,high_yaw,valid_B5,40,14089,0.00764508087192,19.6358124025,0.502565304162,0.725735097599,0.506038324421,0.184249767008,True,corrected_300ms_high_yaw_heldout_full_eligible_set,
