detector,role,primary_failure_mechanism,harmed_objects,median_delta_harm,total_harmed,percent_of_harmed
yolo11n,development,clipping_or_boundary_error,240,0.00451998917054,240799,0.0996681879908
yolo11n,development,depth_induced_projection_error,779,0.00253808391286,240799,0.323506326854
yolo11n,development,detector_box_jitter_interpreted_as_motion,8379,0.00150803251945,240799,3.47966561323
yolo11n,development,distance_dependent_failure,2002,0.00137472427121,240799,0.83139880149
yolo11n,development,incorrect_association,60071,0.00406308685318,240799,24.94653217
yolo11n,development,missed_object_acceleration,125,0.00147900197337,240799,0.0519105145785
yolo11n,development,unclassified,5126,0.00144409512149,240799,2.12874638184
yolo11n,development,velocity_direction_error,32367,0.00209417964187,240799,13.4415010029
yolo11n,development,velocity_magnitude_error,37515,0.00220036029105,240799,15.5793836353
yolo11n,development,velocity_sign_error,94195,0.00210673081564,240799,39.1176873658
yolo11n,heldout,clipping_or_boundary_error,82,0.00329279270631,130364,0.0629008008346
yolo11n,heldout,depth_induced_projection_error,513,0.00130554946906,130364,0.393513546685
yolo11n,heldout,detector_box_jitter_interpreted_as_motion,5636,0.00159487124369,130364,4.32327943297
yolo11n,heldout,distance_dependent_failure,1761,0.0017951578829,130364,1.35083305207
yolo11n,heldout,incorrect_association,31859,0.00382907049753,130364,24.4384952901
yolo11n,heldout,missed_object_acceleration,59,0.00151558241856,130364,0.0452578932834
yolo11n,heldout,unclassified,2692,0.00108076957554,130364,2.06498726642
yolo11n,heldout,velocity_direction_error,18492,0.00199640281672,130364,14.1848976711
yolo11n,heldout,velocity_magnitude_error,20826,0.00208318219104,130364,15.9752692461
yolo11n,heldout,velocity_sign_error,48444,0.00210688059853,130364,37.1605658004
yolo11n,model_selection,clipping_or_boundary_error,94,0.00859703894279,47814,0.196595139499
yolo11n,model_selection,depth_induced_projection_error,387,0.0129555406404,47814,0.809386372192
yolo11n,model_selection,detector_box_jitter_interpreted_as_motion,3087,0.00132698451462,47814,6.45626803865
yolo11n,model_selection,distance_dependent_failure,338,0.00124147737864,47814,0.706905927134
yolo11n,model_selection,incorrect_association,11423,0.0044161887592,47814,23.8904923244
yolo11n,model_selection,missed_object_acceleration,88,0.00164359252588,47814,0.184046513573
yolo11n,model_selection,unclassified,1135,0.00120604636061,47814,2.37378173757
yolo11n,model_selection,velocity_direction_error,6169,0.00206908065442,47814,12.902078889
yolo11n,model_selection,velocity_magnitude_error,6345,0.0021597683818,47814,13.2701719162
yolo11n,model_selection,velocity_sign_error,18748,0.00217112812513,47814,39.2102731418
yolo11s,development,clipping_or_boundary_error,299,0.00296685169568,285149,0.104857460486
yolo11s,development,depth_induced_projection_error,986,0.0016158247658,285149,0.345784133909
yolo11s,development,detector_box_jitter_interpreted_as_motion,10536,0.00107912466222,285149,3.69491038019
yolo11s,development,distance_dependent_failure,2627,0.00121104946647,285149,0.921272738112
yolo11s,development,incorrect_association,67292,0.00314241841965,285149,23.5988904047
yolo11s,development,missed_object_acceleration,103,0.00172978635091,285149,0.0361214663211
yolo11s,development,unclassified,4953,0.00117769814211,285149,1.73698662804
yolo11s,development,velocity_direction_error,39541,0.00171259222474,285149,13.866785435
yolo11s,development,velocity_magnitude_error,45063,0.00176881546169,285149,15.8033168624
yolo11s,development,velocity_sign_error,113749,0.00171004083989,285149,39.8910744909
yolo11s,heldout,clipping_or_boundary_error,83,0.00300859235239,154699,0.0536525769397
yolo11s,heldout,depth_induced_projection_error,532,0.00173832060274,154699,0.343893625686
yolo11s,heldout,detector_box_jitter_interpreted_as_motion,6840,0.00121611960979,154699,4.42148947311
yolo11s,heldout,distance_dependent_failure,2144,0.00116408507764,154699,1.38591716818
yolo11s,heldout,incorrect_association,35253,0.00307740963452,154699,22.7881240344
yolo11s,heldout,missed_object_acceleration,60,0.00111979060684,154699,0.0387849953781
yolo11s,heldout,unclassified,2960,0.00118574726013,154699,1.91339310532
yolo11s,heldout,velocity_direction_error,22207,0.0016374779405,154699,14.354973206
yolo11s,heldout,velocity_magnitude_error,24805,0.00177224845925,154699,16.0343635059
yolo11s,heldout,velocity_sign_error,59815,0.00170192425621,154699,38.665408309
yolo11s,model_selection,clipping_or_boundary_error,84,0.00892474414444,58974,0.142435649608
yolo11s,model_selection,depth_induced_projection_error,398,0.014015603016,58974,0.674873673144
yolo11s,model_selection,detector_box_jitter_interpreted_as_motion,3733,0.00123339164746,58974,6.32990809509
yolo11s,model_selection,distance_dependent_failure,651,0.00128458255775,58974,1.10387628446
yolo11s,model_selection,incorrect_association,14011,0.00416861011975,58974,23.7579272222
yolo11s,model_selection,missed_object_acceleration,81,0.00135371411928,58974,0.137348662122
yolo11s,model_selection,unclassified,1000,0.00109242059119,58974,1.69566249534
yolo11s,model_selection,velocity_direction_error,7655,0.00181347908377,58974,12.9802964018
yolo11s,model_selection,velocity_magnitude_error,8386,0.00186301970641,58974,14.2198256859
yolo11s,model_selection,velocity_sign_error,22975,0.00176242422892,58974,38.9578458304
