detector,model,delta_ms,yaw_stratum,stratum_type,stratum,scope,ap_50_95,ap50,ap75,precision,recall,false_positives_per_frame,persistent_object_recall,new_object_miss_fraction,disappeared_object_false_positive_fraction,eligible_logs,target_objects,predictions,frames
yolo11n,T0,100,all_yaw,overall,all,full_frame,0.0488568431293,0.130499005844,0.0201990675288,0.507313909973,0.198833078204,3.92580645162,,1,1,50,164183,60933,7718
yolo11n,T0,100,high_yaw,overall,all,full_frame,0.0393622543547,0.123522905046,0.010517960852,0.471656416743,0.157297354892,3.52027027027,,1,0.873015873016,42,43564,15082,2229
yolo11n,T0,200,all_yaw,overall,all,full_frame,0.0296760957044,0.0999862191585,0.00816608375278,0.440132490439,0.16200291833,4.34564128682,,1,1,50,163265,60530,7668
yolo11n,T0,200,high_yaw,overall,all,full_frame,0.0207766078365,0.0800617274147,0.00340679229213,0.344319803393,0.126053080385,4,,1,0.983333333333,42,42942,14903,2205
yolo11n,T0,300,all_yaw,overall,all,full_frame,0.0204814822505,0.0752617444939,0.00393171504999,0.355211231157,0.13527800279,4.74183006536,,1,0.964814814815,50,162301,60146,7618
yolo11n,T0,300,high_yaw,overall,all,full_frame,0.0116346472377,0.0474643990898,0.000800641459272,0.29478998063,0.0961024140249,4.57629442159,,1,0.945906432749,40,42270,14584,2170
yolo11n,T0,400,all_yaw,overall,all,full_frame,0.017553221991,0.0596138674354,0.00347070629695,0.337808603859,0.129611903922,4.98026315789,,0.992933508471,0.925914634147,50,161312,59763,7568
yolo11n,T0,400,high_yaw,overall,all,full_frame,0.00726072607261,0.0366579373075,0.000267594327,0.250996015936,0.0860452289024,4.76136363636,,0.9921875,0.9,39,42021,14519,2155
yolo11n,T0,500,all_yaw,overall,all,full_frame,0.0161537797346,0.0574476694317,0.00293389235567,0.312538610123,0.121638724267,5.15994531784,,0.998626373626,0.925824175824,50,160305,59374,7518
yolo11n,T0,500,high_yaw,overall,all,full_frame,0.00632879962154,0.0242383006638,0.000298427020121,0.191613064776,0.0646118918121,5.01231527093,,1,0.945906432749,38,41541,14376,2135
yolo11n,T1,100,all_yaw,overall,all,full_frame,0.0505515110457,0.131826757986,0.0301713826556,0.500671799233,0.190903004215,3.88220643476,,1,1,50,164183,60933,7718
yolo11n,T1,100,high_yaw,overall,all,full_frame,0.0497843911596,0.127488352777,0.024950864988,0.491176470588,0.176260210545,3.45394736842,,1,0.90873015873,42,43564,15082,2229
yolo11n,T1,200,all_yaw,overall,all,full_frame,0.0396714236633,0.107115768308,0.0190914200457,0.426883483712,0.152876986571,4.30105418512,,1,1,50,163265,60530,7668
yolo11n,T1,200,high_yaw,overall,all,full_frame,0.0366585703267,0.105883754408,0.0185395038075,0.40868847539,0.141666875433,3.94444444444,,1,1,42,42942,14903,2205
yolo11n,T1,300,all_yaw,overall,all,full_frame,0.0300981726425,0.0874614772475,0.012377565538,0.351806610329,0.125987834485,4.6903064256,,1,1,50,162301,60146,7618
yolo11n,T1,300,high_yaw,overall,all,full_frame,0.025852370076,0.0757594627281,0.0104214524796,0.30787859936,0.103974538115,4.53846153846,,1,1,40,42270,14584,2170
yolo11n,T1,400,all_yaw,overall,all,full_frame,0.0218770317598,0.0658793394409,0.0091543571995,0.294766995263,0.105623271357,5.0822368421,,1,1,50,161312,59763,7568
yolo11n,T1,400,high_yaw,overall,all,full_frame,0.0160723470123,0.0549324438438,0.00553404130736,0.236220472441,0.0819112627986,4.85483870968,,1,1,39,42021,14519,2155
yolo11n,T1,500,all_yaw,overall,all,full_frame,0.0167091960569,0.0511752505325,0.00507732461029,0.252301208706,0.0886234586631,5.46052631579,,1,1,50,160305,59374,7518
yolo11n,T1,500,high_yaw,overall,all,full_frame,0.0127604960026,0.0395127457792,0.00215645975438,0.188766472462,0.0635618676856,5.02872260015,,1,1,38,41541,14376,2135
yolo11n,T2,100,all_yaw,overall,all,full_frame,0.0429435873325,0.126032590852,0.0150695170312,0.498827863363,0.185931470012,4.05404246631,,1,1,50,164183,60933,7718
