detector,model,delta_ms,yaw_stratum,stratum_type,stratum,scope,ap_50_95,ap50,ap75,precision,recall,false_positives_per_frame,persistent_object_recall,new_object_miss_fraction,disappeared_object_false_positive_fraction,eligible_logs,target_objects,predictions,frames
yolo11n,T0,100,all_yaw,overall,all,persistent_object,0.0492546280793,0.130388426752,0.0202438547007,0.506644117609,0.201189345813,3.92580645162,0.201189345813,,1,50,162395,60933,7718
yolo11n,T0,100,high_yaw,overall,all,persistent_object,0.0399679826201,0.124101907881,0.0105189843097,0.470006251727,0.160138217292,3.52083333334,0.160138217292,,0.873015873016,42,42797,15082,2229
yolo11n,T0,200,all_yaw,overall,all,persistent_object,0.0300435394614,0.101483987695,0.00819753328792,0.43872006106,0.165688384969,4.34564128682,0.165688384969,,1,50,159776,60530,7668
yolo11n,T0,200,high_yaw,overall,all,persistent_object,0.0215101446044,0.0817717698928,0.00352147557513,0.340276676709,0.128970332636,4,0.128970332636,,0.983333333333,42,41451,14903,2205
yolo11n,T0,300,all_yaw,overall,all,persistent_object,0.0208097074835,0.0789806416074,0.00402760058502,0.354216536197,0.139437622418,4.74183006536,0.139437622418,,0.964814814815,50,157185,60146,7618
yolo11n,T0,300,high_yaw,overall,all,persistent_object,0.0119648053148,0.0486403839318,0.000917059694503,0.28985901416,0.0994229079194,4.57629442159,0.0994229079194,,0.945906432749,40,40094,14584,2170
yolo11n,T0,400,all_yaw,overall,all,persistent_object,0.0177322113308,0.0629620528608,0.00360539575235,0.337487205792,0.133446898933,4.98026315789,0.133446898933,,0.925914634147,50,154618,59763,7568
yolo11n,T0,400,high_yaw,overall,all,persistent_object,0.00726072607261,0.0363322809883,0.000267594327,0.237051792829,0.0884955752212,4.76851851852,0.0884955752212,,0.9,39,39157,14519,2155
yolo11n,T0,500,all_yaw,overall,all,persistent_object,0.0165345190897,0.0604523410971,0.00312899357915,0.311497291634,0.126547133915,5.15994531784,0.126547133915,,0.925824175824,50,152082,59374,7518
yolo11n,T0,500,high_yaw,overall,all,persistent_object,0.00644683118142,0.0238857898616,0.000298427020121,0.183302815469,0.0673421824015,5.03696741855,0.0673421824015,,0.945906432749,38,38043,14376,2135
yolo11n,T1,100,all_yaw,overall,all,persistent_object,0.0512492610697,0.132619263905,0.0302880356873,0.499962371216,0.193088267664,3.88220643476,0.193088267664,,1,50,162395,60933,7718
yolo11n,T1,100,high_yaw,overall,all,persistent_object,0.0509317448281,0.128355899617,0.0250010171425,0.491176470588,0.17770384555,3.45394736842,0.17770384555,,0.90873015873,42,42797,15082,2229
yolo11n,T1,200,all_yaw,overall,all,persistent_object,0.0405227283024,0.107519985624,0.0192750077274,0.426883483712,0.155920048401,4.30377042313,0.155920048401,,1,50,159776,60530,7668
yolo11n,T1,200,high_yaw,overall,all,persistent_object,0.0377386487069,0.110670272596,0.0192403841577,0.40868847539,0.146254055725,3.94444444444,0.146254055725,,1,42,41451,14903,2205
yolo11n,T1,300,all_yaw,overall,all,persistent_object,0.0309484888452,0.0894360546984,0.0126190062105,0.351065941975,0.129970288444,4.69357439946,0.129970288444,,1,50,157185,60146,7618
yolo11n,T1,300,high_yaw,overall,all,persistent_object,0.0261421155094,0.081531262375,0.0104998164804,0.30787859936,0.105570203999,4.53846153846,0.105570203999,,1,40,40094,14584,2170
yolo11n,T1,400,all_yaw,overall,all,persistent_object,0.0228784724589,0.069460229446,0.00955792131082,0.293054666496,0.110061172341,5.0822368421,0.110061172341,,1,50,154618,59763,7568
yolo11n,T1,400,high_yaw,overall,all,persistent_object,0.0179752446839,0.0586095716803,0.00588350321167,0.236220472441,0.0869565217391,4.85483870968,0.0869565217391,,1,39,39157,14519,2155
yolo11n,T1,500,all_yaw,overall,all,persistent_object,0.0174426376404,0.053395722209,0.00508503166019,0.251681879293,0.0931437471945,5.46052631579,0.0931437471945,,1,50,152082,59374,7518
yolo11n,T1,500,high_yaw,overall,all,persistent_object,0.0132961770695,0.0408688128524,0.00244825237557,0.186715258275,0.071598913188,5.02872260015,0.071598913188,,1,38,38043,14376,2135
yolo11n,T2,100,all_yaw,overall,all,persistent_object,0.0433714170193,0.126290912815,0.0151103202646,0.498158070998,0.188122743955,4.05404246631,0.188122743955,,1,50,162395,60933,7718
yolo11n,T2,100,high_yaw,overall,all,persistent_object,0.0355722663491,0.111005965773,0.00755921233056,0.416732336869,0.153240784636,3.56756756757,0.153240784636,,0.90873015873,42,42797,15082,2229
yolo11n,T2,200,all_yaw,overall,all,persistent_object,0.0280825975725,0.093489564754,0.00741711957375,0.415398562774,0.159537714291,4.42439668175,0.159537714291,,1,50,159776,60530,7668
yolo11n,T2,200,high_yaw,overall,all,persistent_object,0.0183272310573,0.0689772552141,0.00298307250079,0.336533377396,0.126133992393,4.11688311688,0.126133992393,,1,42,41451,14903,2205
yolo11n,T2,300,all_yaw,overall,all,persistent_object,0.020253417696,0.0725146191704,0.00384805280198,0.34064722914,0.136855161449,4.82352941176,0.136855161449,,0.947222222222,50,157185,60146,7618
yolo11n,T2,300,high_yaw,overall,all,persistent_object,0.0112689850882,0.045796141368,0.000972418670441,0.279819370912,0.0947998242359,4.63946008647,0.0947998242359,,0.934659090909,40,40094,14584,2170
yolo11n,T2,400,all_yaw,overall,all,persistent_object,0.0177119148077,0.0624952653842,0.00328168223935,0.326367038584,0.131546711591,5.03289473684,0.131546711591,,0.923174157303,50,154618,59763,7568
yolo11n,T2,400,high_yaw,overall,all,persistent_object,0.00848133640193,0.03576241169,0.000267594327,0.230769230769,0.0868501529052,4.81481481481,0.0868501529052,,0.909090909091,39,39157,14519,2155
yolo11n,T2,500,all_yaw,overall,all,persistent_object,0.0165709901242,0.0608428234015,0.00326188674235,0.30828637632,0.124036789531,5.21470895782,0.124036789531,,0.932183908046,50,152082,59374,7518
yolo11n,T2,500,high_yaw,overall,all,persistent_object,0.00636217888567,0.0242506952373,0.00031247341522,0.176213280749,0.0675485497912,5.1171679198,0.0675485497912,,0.950246710527,38,38043,14376,2135
yolo11n,T3,100,all_yaw,overall,all,persistent_object,0.0476097395721,0.129823914642,0.0193458281194,0.49262393478,0.185720125999,4.00322580645,0.185720125999,,1,50,162395,60933,7718
yolo11n,T3,100,high_yaw,overall,all,persistent_object,0.038061613884,0.114159843525,0.011677467738,0.437091503268,0.148995501617,3.56925675676,0.148995501617,,0.845238095238,42,42797,15082,2229
yolo11n,T3,200,all_yaw,overall,all,persistent_object,0.0347700470297,0.115013478459,0.0107166342272,0.429923101316,0.166988760563,4.29002206944,0.166988760563,,1,50,159776,60530,7668
yolo11n,T3,200,high_yaw,overall,all,persistent_object,0.0243608708665,0.0919379646327,0.00390455194587,0.347708894878,0.140228864096,4.04477611941,0.140228864096,,0.983333333333,42,41451,14903,2205
yolo11n,T3,300,all_yaw,overall,all,persistent_object,0.0285947750414,0.0935002973082,0.00636590579855,0.385041509249,0.154757140508,4.55674486804,0.154757140508,,0.977052524222,50,157185,60146,7618
yolo11n,T3,300,high_yaw,overall,all,persistent_object,0.0120838095031,0.0519076771321,0.00126220785344,0.267745377809,0.103552378631,4.44916003537,0.103552378631,,0.970117845118,40,40094,14584,2170
yolo11n,T3,400,all_yaw,overall,all,persistent_object,0.021917548609,0.081143564633,0.00487611888043,0.351154898574,0.137719459448,4.8462117303,0.137719459448,,0.961330049261,50,154618,59763,7568
yolo11n,T3,400,high_yaw,overall,all,persistent_object,0.00864334654212,0.0431571294621,0.0004013914905,0.225,0.0932297447281,4.63636363636,0.0932297447281,,0.95,39,39157,14519,2155
yolo11n,T3,500,all_yaw,overall,all,persistent_object,0.016618089261,0.0657390680266,0.00394039175757,0.327400011721,0.120119670262,4.99037120948,0.120119670262,,0.955187894912,50,152082,59374,7518
yolo11n,T3,500,high_yaw,overall,all,persistent_object,0.00562563016297,0.029305403168,0.000587401543308,0.198246438464,0.0755072269684,4.90594875698,0.0755072269684,,0.945906432749,38,38043,14376,2135
yolo11n,T4,100,all_yaw,overall,all,persistent_object,0.0522836526333,0.134829172984,0.0305642136649,0.507089681979,0.197359783503,3.82287014062,0.197359783503,,1,50,162395,60933,7718
yolo11n,T4,100,high_yaw,overall,all,persistent_object,0.0515246905219,0.132084224305,0.0249200631103,0.505812608444,0.187385371642,3.325,0.187385371642,,1,42,42797,15082,2229
yolo11n,T4,200,all_yaw,overall,all,persistent_object,0.0413425487121,0.110884767919,0.019533413844,0.426913218118,0.163898319183,4.31376204441,0.163898319183,,1,50,159776,60530,7668
yolo11n,T4,200,high_yaw,overall,all,persistent_object,0.0387937271179,0.109468403427,0.0187613039916,0.425021607606,0.150128285139,3.89707602339,0.150128285139,,1,42,41451,14903,2205
yolo11n,T4,300,all_yaw,overall,all,persistent_object,0.031427774129,0.0925933543655,0.0128492884617,0.367194987541,0.132030833595,4.62526525762,0.132030833595,,1,50,157185,60146,7618
yolo11n,T4,300,high_yaw,overall,all,persistent_object,0.0264909958443,0.0833152762392,0.0104998164804,0.332495812395,0.107383059418,4.46739130435,0.107383059418,,1,40,40094,14584,2170
yolo11n,T4,400,all_yaw,overall,all,persistent_object,0.0229591652389,0.0698817596585,0.00985341691296,0.301586782753,0.115894484165,4.97714568284,0.115894484165,,1,50,154618,59763,7568
yolo11n,T4,400,high_yaw,overall,all,persistent_object,0.0176343128478,0.0591235765062,0.00564294332659,0.244094488189,0.0887902330744,4.86111111111,0.0887902330744,,1,39,39157,14519,2155
yolo11n,T4,500,all_yaw,overall,all,persistent_object,0.0178022469926,0.0549778307706,0.00521779017246,0.262390137456,0.0966804820569,5.41909201813,0.0966804820569,,0.995652173913,50,152082,59374,7518
yolo11n,T4,500,high_yaw,overall,all,persistent_object,0.0137223642614,0.0414345333516,0.00247524752475,0.196763146989,0.0751922207146,5.00831443688,0.0751922207146,,1,38,38043,14376,2135
yolo11n,T5,100,all_yaw,overall,all,persistent_object,0.0551106474002,0.151867472043,0.0291138310427,0.550404548081,0.224896716519,3.69032258064,0.224896716519,,1,50,162395,60933,7718
yolo11n,T5,100,high_yaw,overall,all,persistent_object,0.057463333932,0.151697971275,0.0272833720558,0.542016806722,0.220007603576,3.14775910364,0.220007603576,,1,42,42797,15082,2229
yolo11n,T5,200,all_yaw,overall,all,persistent_object,0.0487200100153,0.136679516561,0.0212841932627,0.526896157912,0.211751733915,3.92578255079,0.211751733915,,1,50,159776,60530,7668
yolo11n,T5,200,high_yaw,overall,all,persistent_object,0.0496794886695,0.145884558986,0.0249988476955,0.508521335988,0.191075917546,3.24859943977,0.191075917546,,1,42,41451,14903,2205
yolo11n,T5,300,all_yaw,class,pedestrian_cyclist,persistent_object,0.000670281313846,0.00300565770862,0,0.0768115942029,0.00402059189578,0.166022613425,0.00402059189578,,0,50,22049,2495,5194
yolo11n,T5,300,all_yaw,class,vehicle,persistent_object,0.0614845355799,0.196470132212,0.0230054410804,0.550996611426,0.267517468312,2.93466174348,0.267517468312,,1,50,103899,49904,7511
yolo11n,T5,300,all_yaw,distance,0_20m,persistent_object,0.130213623997,0.400701798989,0.0541067230937,0.672474281976,0.513806071283,0.541623429033,0.513806071283,,0,50,10822,7848,5006
yolo11n,T5,300,all_yaw,distance,20_40m,persistent_object,0.0989832189928,0.27047752888,0.0392785612718,0.667479674797,0.341614478559,0.550347539785,0.341614478559,,0,50,28975,14272,6794
yolo11n,T5,300,all_yaw,distance,40m_plus,persistent_object,0.0257266073133,0.0965608385929,0.00623705208006,0.517043618955,0.123171501445,1.64379084967,0.123171501445,,0,50,117388,26343,7323
yolo11n,T5,300,all_yaw,overall,all,persistent_object,0.0421872852566,0.126908321889,0.0162445151722,0.485696545907,0.199980555074,4.08364756159,0.199980555074,,1,50,157185,60146,7618
yolo11n,T5,300,high_yaw,overall,all,persistent_object,0.0411678246379,0.114657740544,0.0186935940472,0.455915943353,0.17180192419,3.58750521485,0.17180192419,,1,40,40094,14584,2170
yolo11n,T5,400,all_yaw,overall,all,persistent_object,0.0347273981135,0.108309723428,0.0117792117817,0.45391623273,0.185526197886,4.45587860781,0.185526197886,,1,50,154618,59763,7568
yolo11n,T5,400,high_yaw,overall,all,persistent_object,0.0384145213713,0.103125653945,0.0145874405348,0.430555555556,0.164912280702,3.70161290323,0.164912280702,,1,39,39157,14519,2155
yolo11n,T5,500,all_yaw,overall,all,persistent_object,0.0301047857614,0.0933552829931,0.00903284299963,0.416600611794,0.174157489431,4.55163355408,0.174157489431,,1,50,152082,59374,7518
yolo11n,T5,500,high_yaw,overall,all,persistent_object,0.030803651291,0.0958912744582,0.0108641441068,0.397985496475,0.156207745322,3.92552666228,0.156207745322,,1,38,38043,14376,2135
yolo11n,T6,100,all_yaw,overall,all,persistent_object,0.0543913193924,0.153095669923,0.029568303388,0.542291995788,0.219258024401,3.71029668412,0.219258024401,,1,50,162395,60933,7718
yolo11n,T6,100,high_yaw,overall,all,persistent_object,0.0536292915751,0.150711415547,0.0254979333324,0.539819004525,0.216316821293,3.22222222222,0.216316821293,,1,42,42797,15082,2229
yolo11n,T6,200,all_yaw,overall,all,persistent_object,0.0488994671634,0.135727280081,0.0215632120176,0.501159220751,0.202413939273,3.96315524194,0.202413939273,,1,50,159776,60530,7668
yolo11n,T6,200,high_yaw,overall,all,persistent_object,0.0458175517419,0.139534913926,0.0196838456177,0.495617674672,0.196210118103,3.27476190476,0.196210118103,,1,42,41451,14903,2205
yolo11n,T6,300,all_yaw,class,pedestrian_cyclist,persistent_object,0.00150862126149,0.00765076507651,0,0.148550724638,0.0054809413054,0.20064935065,0.0054809413054,,0,50,22049,2495,5194
yolo11n,T6,300,all_yaw,class,vehicle,persistent_object,0.0617392439698,0.185753901251,0.0185702428215,0.530627528225,0.251027147357,2.89247517189,0.251027147357,,1,50,103899,49904,7511
yolo11n,T6,300,all_yaw,distance,0_20m,persistent_object,0.180414310292,0.510560373215,0.0687057046395,0.748295206633,0.587167986952,0.304798342101,0.587167986952,,0,50,10822,7848,5006
yolo11n,T6,300,all_yaw,distance,20_40m,persistent_object,0.113610615794,0.336692827167,0.0395319496579,0.709485016002,0.378843206363,0.484600805496,0.378843206363,,0,50,28975,14272,6794
yolo11n,T6,300,all_yaw,distance,40m_plus,persistent_object,0.0185575044641,0.0701011930772,0.00359575568261,0.447124331511,0.10386157967,1.90230031407,0.10386157967,,0,50,117388,26343,7323
yolo11n,T6,300,all_yaw,overall,all,persistent_object,0.0403166122465,0.119519924976,0.0139593580343,0.460589392713,0.181588788959,4.15016872891,0.181588788959,,1,50,157185,60146,7618
yolo11n,T6,300,high_yaw,overall,all,persistent_object,0.0372431790562,0.112256260472,0.0144145744837,0.444948779074,0.171654530162,3.70106382979,0.171654530162,,1,40,40094,14584,2170
yolo11n,T6,400,all_yaw,overall,all,persistent_object,0.0329522864403,0.0988893101871,0.00750094855448,0.412092118274,0.162095782736,4.35514868199,0.162095782736,,1,50,154618,59763,7568
yolo11n,T6,400,high_yaw,overall,all,persistent_object,0.0283208711064,0.0972253885944,0.00880088008801,0.394444444444,0.151136363636,4.07954545455,0.151136363636,,1,39,39157,14519,2155
yolo11n,T6,500,all_yaw,overall,all,persistent_object,0.0249493007284,0.0841334729539,0.00530231902118,0.366457929527,0.150571444942,4.54117288253,0.150571444942,,1,50,152082,59374,7518
yolo11n,T6,500,high_yaw,overall,all,persistent_object,0.0210874612511,0.0736201249324,0.00494026780966,0.338434519071,0.133348233892,4.35275305895,0.133348233892,,1,38,38043,14376,2135
yolo11s,T0,100,all_yaw,overall,all,persistent_object,0.0482885396115,0.146267560806,0.0169702126656,0.466906563135,0.22892033851,5.23227036677,0.22892033851,,1,50,163415,76624,7815
