detector,delta_ms,yaw_stratum,model,tracker_name,eligible_logs,comparisons,metric,value,scope,target_objects,predictions
rtdetr_l,100,all_yaw,T0,stale,50,107924,median_of_log_center_error,0.00808456779391,matched_object,,
rtdetr_l,100,all_yaw,T1,constant_image_velocity,50,107924,median_of_log_center_error,0.00789219839098,matched_object,,
rtdetr_l,100,all_yaw,T2,SORT_Kalman,50,107924,median_of_log_center_error,0.00922317069979,matched_object,,
rtdetr_l,100,all_yaw,T3,ByteTrack_prediction,50,107924,median_of_log_center_error,0.00850143585219,matched_object,,
rtdetr_l,100,all_yaw,T4,OC_SORT_prediction,50,107924,median_of_log_center_error,0.00772008814939,matched_object,,
rtdetr_l,100,all_yaw,T5,B3_ego_only,50,107924,median_of_log_center_error,0.00717568047766,matched_object,,
rtdetr_l,100,all_yaw,T6,B5_ego_object,50,107924,median_of_log_center_error,0.0069598099074,matched_object,,
rtdetr_l,100,high_yaw,T0,stale,42,27442,median_of_log_center_error,0.0120309058223,matched_object,,
rtdetr_l,100,high_yaw,T1,constant_image_velocity,42,27442,median_of_log_center_error,0.00911657822187,matched_object,,
rtdetr_l,100,high_yaw,T2,SORT_Kalman,42,27442,median_of_log_center_error,0.0132398301955,matched_object,,
rtdetr_l,100,high_yaw,T3,ByteTrack_prediction,42,27442,median_of_log_center_error,0.0121905977755,matched_object,,
rtdetr_l,100,high_yaw,T4,OC_SORT_prediction,42,27442,median_of_log_center_error,0.0089925770126,matched_object,,
rtdetr_l,100,high_yaw,T5,B3_ego_only,42,27442,median_of_log_center_error,0.00777499930524,matched_object,,
rtdetr_l,100,high_yaw,T6,B5_ego_object,42,27442,median_of_log_center_error,0.00815364897158,matched_object,,
rtdetr_l,200,all_yaw,T0,stale,50,106270,median_of_log_center_error,0.0107615947028,matched_object,,
rtdetr_l,200,all_yaw,T1,constant_image_velocity,50,106270,median_of_log_center_error,0.00953987336942,matched_object,,
rtdetr_l,200,all_yaw,T2,SORT_Kalman,50,106270,median_of_log_center_error,0.0119753030403,matched_object,,
rtdetr_l,200,all_yaw,T3,ByteTrack_prediction,50,106270,median_of_log_center_error,0.0102986480859,matched_object,,
rtdetr_l,200,all_yaw,T4,OC_SORT_prediction,50,106270,median_of_log_center_error,0.00933079579074,matched_object,,
rtdetr_l,200,all_yaw,T5,B3_ego_only,50,106270,median_of_log_center_error,0.00769259114034,matched_object,,
rtdetr_l,200,all_yaw,T6,B5_ego_object,50,106270,median_of_log_center_error,0.00789874191771,matched_object,,
rtdetr_l,200,high_yaw,T0,stale,42,26710,median_of_log_center_error,0.015898822452,matched_object,,
rtdetr_l,200,high_yaw,T1,constant_image_velocity,42,26710,median_of_log_center_error,0.0121974675391,matched_object,,
rtdetr_l,200,high_yaw,T2,SORT_Kalman,42,26710,median_of_log_center_error,0.0173851619245,matched_object,,
rtdetr_l,200,high_yaw,T3,ByteTrack_prediction,42,26710,median_of_log_center_error,0.0156637044206,matched_object,,
rtdetr_l,200,high_yaw,T4,OC_SORT_prediction,42,26710,median_of_log_center_error,0.0117041281612,matched_object,,
rtdetr_l,200,high_yaw,T5,B3_ego_only,42,26710,median_of_log_center_error,0.00814588513086,matched_object,,
rtdetr_l,200,high_yaw,T6,B5_ego_object,42,26710,median_of_log_center_error,0.00910570828618,matched_object,,
rtdetr_l,300,all_yaw,T0,stale,50,104551,median_of_log_center_error,0.0128703825783,matched_object,,
rtdetr_l,300,all_yaw,T1,constant_image_velocity,50,104551,median_of_log_center_error,0.0117206819048,matched_object,,
rtdetr_l,300,all_yaw,T2,SORT_Kalman,50,104551,median_of_log_center_error,0.0139097909145,matched_object,,
rtdetr_l,300,all_yaw,T3,ByteTrack_prediction,50,104551,median_of_log_center_error,0.0123853724564,matched_object,,
rtdetr_l,300,all_yaw,T4,OC_SORT_prediction,50,104551,median_of_log_center_error,0.0111554248788,matched_object,,
rtdetr_l,300,all_yaw,T5,B3_ego_only,50,104551,median_of_log_center_error,0.0081714066784,matched_object,,
rtdetr_l,300,all_yaw,T6,B5_ego_object,50,104551,median_of_log_center_error,0.00896104900189,matched_object,,
rtdetr_l,300,high_yaw,T0,stale,40,25729,median_of_log_center_error,0.0200068667903,matched_object,,
rtdetr_l,300,high_yaw,T1,constant_image_velocity,40,25729,median_of_log_center_error,0.0154658298323,matched_object,,
rtdetr_l,300,high_yaw,T2,SORT_Kalman,40,25729,median_of_log_center_error,0.0219320401149,matched_object,,
rtdetr_l,300,high_yaw,T3,ByteTrack_prediction,40,25729,median_of_log_center_error,0.0196764654512,matched_object,,
rtdetr_l,300,high_yaw,T4,OC_SORT_prediction,40,25729,median_of_log_center_error,0.0139182097247,matched_object,,
rtdetr_l,300,high_yaw,T5,B3_ego_only,40,25729,median_of_log_center_error,0.00851167610505,matched_object,,
rtdetr_l,300,high_yaw,T6,B5_ego_object,40,25729,median_of_log_center_error,0.0101760367007,matched_object,,
rtdetr_l,400,all_yaw,T0,stale,50,102820,median_of_log_center_error,0.0152209332258,matched_object,,
rtdetr_l,400,all_yaw,T1,constant_image_velocity,50,102820,median_of_log_center_error,0.0144253820623,matched_object,,
rtdetr_l,400,all_yaw,T2,SORT_Kalman,50,102820,median_of_log_center_error,0.0158842649163,matched_object,,
rtdetr_l,400,all_yaw,T3,ByteTrack_prediction,50,102820,median_of_log_center_error,0.0142982754059,matched_object,,
rtdetr_l,400,all_yaw,T4,OC_SORT_prediction,50,102820,median_of_log_center_error,0.0135084461038,matched_object,,
rtdetr_l,400,all_yaw,T5,B3_ego_only,50,102820,median_of_log_center_error,0.0086214848788,matched_object,,
rtdetr_l,400,all_yaw,T6,B5_ego_object,50,102820,median_of_log_center_error,0.00986040434026,matched_object,,
rtdetr_l,400,high_yaw,T0,stale,39,25104,median_of_log_center_error,0.0240716311724,matched_object,,
rtdetr_l,400,high_yaw,T1,constant_image_velocity,39,25104,median_of_log_center_error,0.0187400562064,matched_object,,
rtdetr_l,400,high_yaw,T2,SORT_Kalman,39,25104,median_of_log_center_error,0.0257923316251,matched_object,,
rtdetr_l,400,high_yaw,T3,ByteTrack_prediction,39,25104,median_of_log_center_error,0.023659277579,matched_object,,
rtdetr_l,400,high_yaw,T4,OC_SORT_prediction,39,25104,median_of_log_center_error,0.0169089128493,matched_object,,
rtdetr_l,400,high_yaw,T5,B3_ego_only,39,25104,median_of_log_center_error,0.00875629443785,matched_object,,
rtdetr_l,400,high_yaw,T6,B5_ego_object,39,25104,median_of_log_center_error,0.0118115111656,matched_object,,
rtdetr_l,500,all_yaw,T0,stale,50,101071,median_of_log_center_error,0.0175079268136,matched_object,,
rtdetr_l,500,all_yaw,T1,constant_image_velocity,50,101071,median_of_log_center_error,0.0167224323172,matched_object,,
rtdetr_l,500,all_yaw,T2,SORT_Kalman,50,101071,median_of_log_center_error,0.0179291054314,matched_object,,
rtdetr_l,500,all_yaw,T3,ByteTrack_prediction,50,101071,median_of_log_center_error,0.0159960338034,matched_object,,
rtdetr_l,500,all_yaw,T4,OC_SORT_prediction,50,101071,median_of_log_center_error,0.0157128909358,matched_object,,
rtdetr_l,500,all_yaw,T5,B3_ego_only,50,101071,median_of_log_center_error,0.00898425257498,matched_object,,
rtdetr_l,500,all_yaw,T6,B5_ego_object,50,101071,median_of_log_center_error,0.0110506022063,matched_object,,
rtdetr_l,500,high_yaw,T0,stale,38,24370,median_of_log_center_error,0.0297457897045,matched_object,,
rtdetr_l,500,high_yaw,T1,constant_image_velocity,38,24370,median_of_log_center_error,0.0230328721577,matched_object,,
rtdetr_l,500,high_yaw,T2,SORT_Kalman,38,24370,median_of_log_center_error,0.0305491712997,matched_object,,
rtdetr_l,500,high_yaw,T3,ByteTrack_prediction,38,24370,median_of_log_center_error,0.0270376634837,matched_object,,
rtdetr_l,500,high_yaw,T4,OC_SORT_prediction,38,24370,median_of_log_center_error,0.021365996129,matched_object,,
rtdetr_l,500,high_yaw,T5,B3_ego_only,38,24370,median_of_log_center_error,0.00973791852477,matched_object,,
rtdetr_l,500,high_yaw,T6,B5_ego_object,38,24370,median_of_log_center_error,0.0137111244462,matched_object,,
rtdetr_l,100,all_yaw,T0,stale,50,107924,median_of_log_iou,0.399633747598,matched_object,,
rtdetr_l,100,all_yaw,T1,constant_image_velocity,50,107924,median_of_log_iou,0.363945066556,matched_object,,
rtdetr_l,100,all_yaw,T2,SORT_Kalman,50,107924,median_of_log_iou,0.369650287789,matched_object,,
rtdetr_l,100,all_yaw,T3,ByteTrack_prediction,50,107924,median_of_log_iou,0.38559911052,matched_object,,
rtdetr_l,100,all_yaw,T4,OC_SORT_prediction,50,107924,median_of_log_iou,0.382546251862,matched_object,,
rtdetr_l,100,all_yaw,T5,B3_ego_only,50,107924,median_of_log_iou,0.433501735447,matched_object,,
rtdetr_l,100,all_yaw,T6,B5_ego_object,50,107924,median_of_log_iou,0.42969490721,matched_object,,
rtdetr_l,100,high_yaw,T0,stale,42,27442,median_of_log_iou,0.311259562791,matched_object,,
rtdetr_l,100,high_yaw,T1,constant_image_velocity,42,27442,median_of_log_iou,0.310136307737,matched_object,,
rtdetr_l,100,high_yaw,T2,SORT_Kalman,42,27442,median_of_log_iou,0.282387420125,matched_object,,
rtdetr_l,100,high_yaw,T3,ByteTrack_prediction,42,27442,median_of_log_iou,0.297057357299,matched_object,,
rtdetr_l,100,high_yaw,T4,OC_SORT_prediction,42,27442,median_of_log_iou,0.332237562279,matched_object,,
rtdetr_l,100,high_yaw,T5,B3_ego_only,42,27442,median_of_log_iou,0.385774167123,matched_object,,
rtdetr_l,100,high_yaw,T6,B5_ego_object,42,27442,median_of_log_iou,0.379661065575,matched_object,,
rtdetr_l,200,all_yaw,T0,stale,50,106270,median_of_log_iou,0.336129737694,matched_object,,
rtdetr_l,200,all_yaw,T1,constant_image_velocity,50,106270,median_of_log_iou,0.283793591063,matched_object,,
rtdetr_l,200,all_yaw,T2,SORT_Kalman,50,106270,median_of_log_iou,0.315656172837,matched_object,,
rtdetr_l,200,all_yaw,T3,ByteTrack_prediction,50,106270,median_of_log_iou,0.335173719174,matched_object,,
rtdetr_l,200,all_yaw,T4,OC_SORT_prediction,50,106270,median_of_log_iou,0.304375406268,matched_object,,
rtdetr_l,200,all_yaw,T5,B3_ego_only,50,106270,median_of_log_iou,0.425730591715,matched_object,,
rtdetr_l,200,all_yaw,T6,B5_ego_object,50,106270,median_of_log_iou,0.397418830569,matched_object,,
rtdetr_l,200,high_yaw,T0,stale,42,26710,median_of_log_iou,0.212964110734,matched_object,,
rtdetr_l,200,high_yaw,T1,constant_image_velocity,42,26710,median_of_log_iou,0.224763350644,matched_object,,
rtdetr_l,200,high_yaw,T2,SORT_Kalman,42,26710,median_of_log_iou,0.195723980111,matched_object,,
rtdetr_l,200,high_yaw,T3,ByteTrack_prediction,42,26710,median_of_log_iou,0.220591056625,matched_object,,
rtdetr_l,200,high_yaw,T4,OC_SORT_prediction,42,26710,median_of_log_iou,0.25186663712,matched_object,,
rtdetr_l,200,high_yaw,T5,B3_ego_only,42,26710,median_of_log_iou,0.379477119508,matched_object,,
rtdetr_l,200,high_yaw,T6,B5_ego_object,42,26710,median_of_log_iou,0.344899267975,matched_object,,
rtdetr_l,300,all_yaw,T0,stale,50,104551,median_of_log_iou,0.277276659159,matched_object,,
rtdetr_l,300,all_yaw,T1,constant_image_velocity,50,104551,median_of_log_iou,0.205413489885,matched_object,,
rtdetr_l,300,all_yaw,T2,SORT_Kalman,50,104551,median_of_log_iou,0.265464786418,matched_object,,
rtdetr_l,300,all_yaw,T3,ByteTrack_prediction,50,104551,median_of_log_iou,0.287033855354,matched_object,,
rtdetr_l,300,all_yaw,T4,OC_SORT_prediction,50,104551,median_of_log_iou,0.226454881104,matched_object,,
rtdetr_l,300,all_yaw,T5,B3_ego_only,50,104551,median_of_log_iou,0.406962570155,matched_object,,
rtdetr_l,300,all_yaw,T6,B5_ego_object,50,104551,median_of_log_iou,0.366929266317,matched_object,,
rtdetr_l,300,high_yaw,T0,stale,40,25729,median_of_log_iou,0.134739803004,matched_object,,
rtdetr_l,300,high_yaw,T1,constant_image_velocity,40,25729,median_of_log_iou,0.145976467987,matched_object,,
rtdetr_l,300,high_yaw,T2,SORT_Kalman,40,25729,median_of_log_iou,0.123524712713,matched_object,,
rtdetr_l,300,high_yaw,T3,ByteTrack_prediction,40,25729,median_of_log_iou,0.14973425596,matched_object,,
rtdetr_l,300,high_yaw,T4,OC_SORT_prediction,40,25729,median_of_log_iou,0.174718388576,matched_object,,
rtdetr_l,300,high_yaw,T5,B3_ego_only,40,25729,median_of_log_iou,0.364720968439,matched_object,,
rtdetr_l,300,high_yaw,T6,B5_ego_object,40,25729,median_of_log_iou,0.307043855133,matched_object,,
rtdetr_l,400,all_yaw,T0,stale,50,102820,median_of_log_iou,0.238136179821,matched_object,,
rtdetr_l,400,all_yaw,T1,constant_image_velocity,50,102820,median_of_log_iou,0.147028980612,matched_object,,
rtdetr_l,400,all_yaw,T2,SORT_Kalman,50,102820,median_of_log_iou,0.231244065178,matched_object,,
rtdetr_l,400,all_yaw,T3,ByteTrack_prediction,50,102820,median_of_log_iou,0.256812402197,matched_object,,
rtdetr_l,400,all_yaw,T4,OC_SORT_prediction,50,102820,median_of_log_iou,0.166404502951,matched_object,,
rtdetr_l,400,all_yaw,T5,B3_ego_only,50,102820,median_of_log_iou,0.389837691393,matched_object,,
rtdetr_l,400,all_yaw,T6,B5_ego_object,50,102820,median_of_log_iou,0.336934047799,matched_object,,
rtdetr_l,400,high_yaw,T0,stale,39,25104,median_of_log_iou,0.0796381530481,matched_object,,
rtdetr_l,400,high_yaw,T1,constant_image_velocity,39,25104,median_of_log_iou,0.0796602394487,matched_object,,
rtdetr_l,400,high_yaw,T2,SORT_Kalman,39,25104,median_of_log_iou,0.0761923622005,matched_object,,
rtdetr_l,400,high_yaw,T3,ByteTrack_prediction,39,25104,median_of_log_iou,0.0967442184132,matched_object,,
rtdetr_l,400,high_yaw,T4,OC_SORT_prediction,39,25104,median_of_log_iou,0.11590787903,matched_object,,
rtdetr_l,400,high_yaw,T5,B3_ego_only,39,25104,median_of_log_iou,0.348244158791,matched_object,,
rtdetr_l,400,high_yaw,T6,B5_ego_object,39,25104,median_of_log_iou,0.282108375665,matched_object,,
rtdetr_l,500,all_yaw,T0,stale,50,101071,median_of_log_iou,0.203856933154,matched_object,,
rtdetr_l,500,all_yaw,T1,constant_image_velocity,50,101071,median_of_log_iou,0.103576824364,matched_object,,
rtdetr_l,500,all_yaw,T2,SORT_Kalman,50,101071,median_of_log_iou,0.197270270459,matched_object,,
rtdetr_l,500,all_yaw,T3,ByteTrack_prediction,50,101071,median_of_log_iou,0.228671177145,matched_object,,
