detector,delta_ms,yaw_stratum,model,tracker_name,eligible_logs,comparisons,median_of_log_center_error,median_of_log_iou,median_of_log_recall_0_5
rtdetr_l,100,all_yaw,T0,stale,50,107924,0.00808456779391,0.399633747598,0.38971907712
rtdetr_l,100,all_yaw,T1,constant_image_velocity,50,107924,0.00789219839098,0.363945066556,0.377906525988
rtdetr_l,100,all_yaw,T2,SORT_Kalman,50,107924,0.00922317069979,0.369650287789,0.364090721508
rtdetr_l,100,all_yaw,T3,ByteTrack_prediction,50,107924,0.00850143585219,0.38559911052,0.366681186744
rtdetr_l,100,all_yaw,T4,OC_SORT_prediction,50,107924,0.00772008814939,0.382546251862,0.383437594365
rtdetr_l,100,all_yaw,T5,B3_ego_only,50,107924,0.00717568047766,0.433501735447,0.435161925269
rtdetr_l,100,all_yaw,T6,B5_ego_object,50,107924,0.0069598099074,0.42969490721,0.416720667488
rtdetr_l,100,high_yaw,T0,stale,42,27442,0.0120309058223,0.311259562791,0.317258195198
rtdetr_l,100,high_yaw,T1,constant_image_velocity,42,27442,0.00911657822187,0.310136307737,0.340424650262
rtdetr_l,100,high_yaw,T2,SORT_Kalman,42,27442,0.0132398301955,0.282387420125,0.275998676768
rtdetr_l,100,high_yaw,T3,ByteTrack_prediction,42,27442,0.0121905977755,0.297057357299,0.290955558195
rtdetr_l,100,high_yaw,T4,OC_SORT_prediction,42,27442,0.0089925770126,0.332237562279,0.344602005397
rtdetr_l,100,high_yaw,T5,B3_ego_only,42,27442,0.00777499930524,0.385774167123,0.391731925744
rtdetr_l,100,high_yaw,T6,B5_ego_object,42,27442,0.00815364897158,0.379661065575,0.373812223788
rtdetr_l,200,all_yaw,T0,stale,50,106270,0.0107615947028,0.336129737694,0.325150276201
rtdetr_l,200,all_yaw,T1,constant_image_velocity,50,106270,0.00953987336942,0.283793591063,0.3098447593
rtdetr_l,200,all_yaw,T2,SORT_Kalman,50,106270,0.0119753030403,0.315656172837,0.297149762047
